start_time,crypto_code,e_roi,time_cost,roi_30,roi_100,roi_300,roi_1000
1620926646.5194619,NEBL,1.005026682624987,0.0003178119659423828,1.005026682624987,1.005026682624987,1.005026682624987,0.9
1620926646.967568,NEBL,1.005066712896467,0.0004289150238037109,1.005066712896467,1.00504002569451,1.005026682624987,0.9
1620926647.4250581,NEBL,1.0050800570289289,0.0005350112915039061,1.005093401515732,1.005053369118332,1.005053369118332,0.9
1620926647.878251,NEBL,1.0050533691183319,0.0003490447998046875,1.0050533691183319,1.0050533691183319,1.0050533691183319,0.9
1620926648.316808,NEBL,1.005053369118332,0.0004668235778808594,1.005053369118332,1.005053369118332,1.0051067463568901,0.9
1620926648.794545,NEBL,1.0052135178446386,0.0003490447998046875,1.0052135178446386,1.005253563001114,1.005164197808938,0.9
1620926649.2376812,NEBL,1.0052175972403834,0.00030803680419921875,1.0052175972403834,1.0052175972403834,1.0052576505374804,0.9
1620926649.7915509,NEBL,1.004910627967357,0.0002529621124267578,1.004910627967357,1.0049640004596474,1.0051375002206828,0.9
1620926650.229356,NEBL,1.0051375002206828,0.0002307891845703125,1.0051375002206828,1.0051908968154672,1.0052843545088583,0.9
1620926650.761127,NEBL,1.0053244131261778,0.00019216537475585927,1.0053244131261778,1.0053911845833268,1.0053911845833268,0.9
1620926651.1952288,NEBL,1.0054446081355186,0.0002977848052978516,1.0054446081355186,1.0053911845833268,1.0052042468506202,0.9
1620926651.642669,NEBL,1.0052442990837995,0.0003361701965332031,1.0052442990837995,1.0052576505374804,1.0053244131261778,0.9
1620926652.0796318,NEBL,1.0052576505374804,0.0002188682556152344,1.0053244131261778,1.0053244131261778,1.0054446081355186,0.9
1620926652.517591,NEBL,1.0053511206447243,0.0002529621124267578,1.0053511206447243,1.0053511206447243,0.9980865722060706,0.9
1620926797.388674,BLZ,1.0044421453879784,144.43624496459958,0.9985716707797248,0.9985716707797248,0.9988633445507143,0.9
1620927064.454892,ZEN,1.004765847824087,266.58791089057917,1.0025520976774074,1.0025520976774074,0.9978518314513908,0.9
1620927065.343562,BAT,1.0048591482199003,0.4160470962524414,1.0048591482199003,1.0048591482199003,1.0048591482199003,0.9
1620927065.8196962,BAT,1.0048591482199003,0.00034689903259277344,1.0048591482199003,1.0048859451784384,1.0048591482199003,0.9
1620927066.278337,BAT,1.0048591482199003,0.0009610652923583984,1.0048591482199003,1.0048591482199003,1.0031069684864626,0.9
1620927067.00279,EOS,1.0052715459114872,0.2591118812561035,0.9993906154783668,0.9993906154783668,0.9993906154783668,0.9
1620927165.411883,ELF,1.0059969880827762,97.89126014709473,1.0059969880827762,1.0059435188442591,1.0004699566045214,0.9
1620927171.42643,ELF,1.0040614054736725,5.5492048263549805,1.0040614054736725,1.0040614054736725,1.0041280824161158,0.9
1620927171.890965,ELF,1.0042748028659785,0.00023031234741210938,1.0042748028659785,1.0043815355814307,1.00432816638801,0.9
1620927172.3694348,ELF,1.004434910447145,0.0003159046173095703,1.004434910447145,1.0044482550499754,0.9996721558391904,0.9
1620927301.343298,RLC,1.004952537627235,128.46951723098758,0.9984728654154982,0.9980228164037366,0.998552253157736,0.9
1620927464.982391,EZ,1.004424464358472,163.18337488174436,0.998111946979216,0.998191315490917,0.9982310044804132,0.9
1620927609.496734,NANO,1.004188213858822,144.058198928833,1.004148459248157,1.0041749619721827,1.0032154774553423,0.9
1620927610.276603,NANO,1.004320751964814,0.3399763107299805,1.0043605202191848,1.0043870341384895,0.9943874637501736,0.9
1620927834.678824,LSK,1.0041604572726224,223.95403909683228,1.0041604572726224,0.9931283154319608,0.9931283154319608,0.9
1620927865.860131,SCRT,1.0063211658960582,30.740159034729004,0.9988945088349463,0.9988420176299208,0.9988682625428216,0.9
1620928136.559886,BLZ,1.007969518499822,270.1572971343994,0.9902831965520412,0.9902831965520412,0.9898291226911026,0.9
1620928372.22341,BLZ,1.0059489493476104,235.10951495170602,0.988114932973626,0.992540561410718,0.9944610655188046,0.9
1620928843.074568,NANO,1.0043238096891978,470.3773148059845,0.9985476842560465,0.998787029338562,0.9974963656273208,0.9
1620928862.458417,NANO,1.0043168956303967,18.91580390930176,0.9984644426692008,0.9988574151356168,0.9983738193185032,0.9
1620928872.9080598,ETC,1.0058435264576353,9.979002952575684,1.0018322527443255,1.001092851981194,0.9989288215368359,0.9
1620929199.748914,NANO,1.0042074350873802,326.38540887832636,0.9978502390277852,0.9988692081247412,0.9985079438439132,0.9
1620929216.4666884,NANO,1.0041264609303109,16.280357837677002,0.9949352144543284,0.9962273381094638,0.9972241493487352,0.9
1620929286.381204,LTC,1.0044897424855797,69.46861696243286,0.9987691686539674,0.9987691686539674,0.998821546615981,0.9
1620929643.501698,NAV,1.0061226745179437,356.67470502853394,0.9957890149290568,0.9976941428251588,0.9977729932276582,0.9
1620929941.488097,ELF,1.0042275469156279,297.5323400497436,1.002919958963915,1.002919958963915,1.0027080595430478,0.9
1620929943.1823518,ELF,1.0054554548598236,1.2148809432983398,1.0054554548598236,1.0054554548598236,1.0054554548598236,0.9
1620929943.692708,ELF,1.0055351348673411,0.00025010108947753906,1.0055351348673411,1.00561482750477,1.00561482750477,0.9
1620929944.1704168,ELF,1.00561482750477,0.00023126602172851557,1.00561482750477,1.00561482750477,1.002853730774805,0.9
1620930312.660344,SCRT,1.0147764680211842,368.02271366119385,1.002073080719004,1.0007521052782993,1.0007919277546669,0.9
1620930423.8470569,EZ,1.0086314468595157,110.67705178260805,0.9832260635914924,0.9833559412813888,0.9834338843663804,0.9
1620931059.748758,NANO,1.005394532901023,635.4610807895659,0.9926461807804852,0.9926065979040568,0.9926065979040568,0.9
1620931242.6262062,NEBL,1.0040701015603206,182.4193739891052,1.0040701015603206,1.0040701015603206,1.0015738313205742,0.9
1620931396.214418,NANO,1.0046342214997428,153.12776708602902,0.9935606266567576,0.9935606266567576,0.9935553853464713,0.9
1620931464.170366,EZ,1.0067820086700634,67.49178910255432,0.9825384375956072,0.9825515234519494,0.9825907831124542,0.9
1620931505.133642,EZ,1.0086364993581711,40.48805809020996,0.9868731068171116,0.9863715756607172,0.9863715756607172,0.9
1620931554.865036,ELF,1.004746641059759,49.21706628799439,0.9893122283230436,0.9893122283230436,0.9893122283230436,0.9
1620931577.656602,NAV,1.0040631275923373,22.26708698272705,1.0040497897009255,0.9993491820712396,0.99842232350474,0.9
1620931754.98016,BLZ,1.0050303002876193,176.8684470653534,0.9857940656323496,0.9871593216532564,0.9871593216532564,0.9
1620931836.11801,ELF,1.0094259438216693,80.70225000381471,1.0094259438216693,1.0094259438216693,0.9941597147137786,0.9
1620931971.7138948,BLZ,1.0043754940844891,135.14939594268802,0.9929891394098328,0.9929891394098328,0.9929891394098328,0.9
1620931994.206432,EZ,1.006836903867428,22.02442193031311,1.006836903867428,1.006836903867428,1.006193257714593,0.9
1620931994.671177,EZ,1.006193257714593,0.0011878013610839846,1.006193257714593,0.990160508003756,0.990160508003756,0.9
